year,OLS,OLS se,CMI,CMI_se,CF,CF_se,obs
1984,"0,074","0,004","0,066","0,004","0,075","0,079",1.545
1985,"0,065","0,004","0,059","0,004","0,032","0,131",1.600
1986,"0,069","0,004","0,061","0,004","0,077","0,091",1.682
1987,"0,070","0,004","0,063","0,004","0,090","0,048",1.775
1988,"0,069","0,004","0,065","0,004","0,081","0,041",1.798
1989,"0,067","0,003","0,063","0,004","0,067","0,038",1.922
1990,"0,063","0,003","0,059","0,004","0,048","0,031",2.007
1991,"0,062","0,003","0,060","0,004","0,037","0,030",2.122
1992,"0,064","0,003","0,057","0,004","0,049","0,027",2.107
1993,"0,060","0,003","0,057","0,004","0,062","0,026",2.124
1994,"0,057","0,003","0,051","0,004","0,055","0,022",2.082
1995,"0,058","0,003","0,053","0,004","0,064","0,024",2.075
1996,"0,055","0,003","0,049","0,004","0,054","0,025",2.057
1997,"0,057","0,003","0,054","0,003","0,074","0,025",2.011
1998,"0,054","0,003","0,049","0,003","0,053","0,021",2.145
1999,"0,058","0,003","0,054","0,003","0,072","0,023",2.163
2000,"0,065","0,002","0,059","0,003","0,108","0,024",3.965
2001,"0,065","0,002","0,062","0,003","0,097","0,022",3.961
2002,"0,068","0,003","0,066","0,003","0,106","0,030",3.668
2003,"0,064","0,003","0,062","0,003","0,123","0,028",3.476
2004,"0,064","0,003","0,062","0,003","0,115","0,030",3.366
2005,"0,065","0,003","0,064","0,003","0,113","0,032",3.220
2006,"0,064","0,003","0,063","0,003","0,133","0,033",3.477
